"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée Pasquet,Provence Alpes Côte d'Azur,BTS - Production - Conception et Réalisation de Systèmes Automatiques,18.0
Public,Lycée Perier,Provence Alpes Côte d'Azur,BTS - Services - Management Commercial Opérationnel,40.0
Public,Lycée Marcel Pagnol,Provence Alpes Côte d'Azur,BTS - Services - Comptabilité et gestion,25.0
Public,Lycée Saint Exupery,Provence Alpes Côte d'Azur,Classe préparatoire aux études supérieures - Générale,100.0
Public,Lycée Denis Diderot,Provence Alpes Côte d'Azur,"BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants",4.0
Public,Lycée Marie Curie,Provence Alpes Côte d'Azur,CPGE - TB,0.0
Public,Lycée Marie Curie,Provence Alpes Côte d'Azur,BTS - Production - Biotechnologies,55.0
Public,Lycée Marie Curie,Provence Alpes Côte d'Azur,BTS - Services - Diététique,61.0
Public,Lycée Marie Curie,Provence Alpes Côte d'Azur,Diplôme de Comptabilité et de Gestion,83.0
Public,Lycée Jean Perrin,Provence Alpes Côte d'Azur,CPGE - ENS Rennes D1,100.0
Public,Lycée Jean Perrin,Provence Alpes Côte d'Azur,BTS - Production - Conception et réalisation en chaudronnerie industrielle,32.0
Public,Lycée Jean Perrin,Provence Alpes Côte d'Azur,BTS - Services - Conseil et commercialisation de solutions techniques,33.0
Public,Lycée professionnel Blaise Pascal,Provence Alpes Côte d'Azur,BTS - Services - Photographie,52.0
Public,Lycée professionnel Frederic Mistral,Provence Alpes Côte d'Azur,FCIL - Contrôle Technique,0.0
Public,Lycée Paul Langevin,Provence Alpes Côte d'Azur,BTS - Production - Conception et Réalisation de Systèmes Automatiques,7.0
Public,Lycée Paul Langevin,Provence Alpes Côte d'Azur,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),8.0
Public,Lycée Paul Langevin,Provence Alpes Côte d'Azur,BTS - Services - Management Commercial Opérationnel,33.0
Public,Lycée de L'Emperi,Provence Alpes Côte d'Azur,CPGE - PCSI,100.0
Public,"Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence (CREPS)",Provence Alpes Côte d'Azur,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,44.0
Public,Aix-Marseille Université - Site de Marseille Luminy,Provence Alpes Côte d'Azur,Licence - Chimie - Portail Louis Pasteur,94.0
Privé sous contrat d'association,IRTS PACA CORSE,Provence Alpes Côte d'Azur,D.E Educateur Technique Spécialisé,100.0
Public,Ecole Nationale Supérieure d'Architecture de Marseille,Provence Alpes Côte d'Azur,Architecture,87.0
Privé sous contrat d'association,Lycée Charles Peguy,Provence Alpes Côte d'Azur,Diplôme de Comptabilité et de Gestion,79.0
Privé sous contrat d'association,Lycée Charles Peguy,Provence Alpes Côte d'Azur,BTS - Services - Négociation et digitalisation de la Relation Client,26.0
Privé sous contrat d'association,Lycée Charles Peguy,Provence Alpes Côte d'Azur,BTS - Services - Support à l'action managériale,19.0
Privé sous contrat d'association,Lycée Charles Peguy,Provence Alpes Côte d'Azur,BTS - Services - Tourisme,49.0
Privé sous contrat d'association,Lycée St Vincent De Paul,Provence Alpes Côte d'Azur,BTS - Services - Conseil et commercialisation de solutions techniques,18.0
Public,Lycée Militaire d'Aix-en-Provence,Provence Alpes Côte d'Azur,CPGE - MPSI,100.0
Public,Lycée Militaire d'Aix-en-Provence,Provence Alpes Côte d'Azur,Classe préparatoire aux études supérieures - Littéraire,100.0
Public,Lycée agricole Aix-Valabre,Provence Alpes Côte d'Azur,BTS - Agricole - Gestion et protection de la nature,43.0
Public,Lycée agricole Aix-Valabre,Provence Alpes Côte d'Azur,BTS - Agricole - Agronomie et cultures durables,43.0
Privé sous contrat d'association,Lycée Chimie et Biologie,Provence Alpes Côte d'Azur,BTS - Services - Analyses de biologie médicale,64.0
Privé sous contrat d'association,Lycée Chimie et Biologie,Provence Alpes Côte d'Azur,BTS - Production - Biotechnologies,61.0
