"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée professionnel Europe,Grand Est,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,38.0
Public,ENSAM - campus de Châlons-en-Champagne,Grand Est,Formation Bac + 3 - Bachelor de Technologie Arts et Métiers,0.0
Public,Institut Universitaire de Technologie de Reims,Grand Est,BUT - Techniques de commercialisation,53.0
Privé sous contrat d'association,Lycée St Michel,Grand Est,BTS - Services - Comptabilité et gestion,46.0
Privé sous contrat d'association,Lycée St J-B De La Salle,Grand Est,BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,81.0
Privé sous contrat d'association,Lycée St J-B De La Salle,Grand Est,Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences,100.0
Privé sous contrat d'association,Lycée St J-B De La Salle,Grand Est,BTS - Services - Métiers de l'audio-visuel opt : montage et post-production,73.0
Public,Université de Reims Champagne-Ardenne,Grand Est,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol",85.0
Public,Université de Reims Champagne-Ardenne,Grand Est,Licence - Psychologie,85.0
Public,Université de Reims Champagne-Ardenne,Grand Est,Licence - Portail Sciences de la vie - Biologie Biochimie Terre et Environnement - BBTE,93.0
Public,Université de Reims Champagne-Ardenne,Grand Est,Licence - Sciences pour la santé - Psychologie -  Accès Santé,94.0
Public,Université de Reims Champagne-Ardenne,Grand Est,Licence - Economie et gestion,79.0
Public,Université de Reims Champagne-Ardenne,Grand Est,Licence - Génie civil,94.0
Privé sous contrat d'association,IRTS Champagne Ardenne,Grand Est,D.E Educateur Spécialisé,47.0
Public,Lycée Francois Arago,Grand Est,BTS - Production - Bâtiment,24.0
Privé sous contrat d'association,IFSI Croix Rouge Française Chalons-En-Champagne,Grand Est,D.E Infirmier,49.0
Public,IFSI Epernay,Grand Est,D.E Infirmier,48.0
Public,lycée Georges BRIERE,Grand Est,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",31.0
Public,Lycée Marc Chagall,Grand Est,DN MADE - Espace - Spécialité : Design d'intérieurs,20.0
Public,I.U.T. Reims-Châlons-Charleville - site de Châlons,Grand Est,BUT - Carrières sociales parcours villes et territoires durables,70.0
Public,I.U.T. Reims-Châlons-Charleville - site de Châlons,Grand Est,BUT - Carrières sociales Parcours animation sociale et socioculturelle,53.0
Public,Sciences Po - campus de Reims - Institut d'études politiques,Grand Est,Licence - Double diplôme - Licence Sciences de la vie - Sciences sociales et Sciences du vivant,100.0
Privé enseignement supérieur,Institut Catholique de Paris (ICP)- Campus de Reims,Grand Est,Licence - Sciences sociales,98.0
Public,Lycée Diderot,Grand Est,BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,0.0
Public,Lycée Blaise Pascal,Grand Est,BTS - Production - Maintenance des systèmes - option A Systèmes de production,3.0
Public,Lycée professionnel Blaise Pascal,Grand Est,FCIL - Robinetterie et maintenance nucléaire,13.0
Privé sous contrat d'association,Lycée ESTIC,Grand Est,BTS - Services - Support à l'action managériale,8.0
Public,Lycée Edme Bouchardon,Grand Est,BTS - Services - Management Commercial Opérationnel,14.0
Public,IFSI Chaumont,Grand Est,D.E Infirmier,43.0
Public,Lycée Charles De Gaulle,Grand Est,DN MADE - Graphisme - Spécialité : Identité visuelle et édition,37.0
Public,LGT Réaumur - Lycée des métiers,Pays de la Loire,BTS - Services - Service et prestation des secteurs sanitaire et social,24.0
Public,LGT Réaumur - Lycée des métiers,Pays de la Loire,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),7.0
Public,LGT Réaumur - Lycée des métiers,Pays de la Loire,BTS - Production - Travaux publics,24.0
Public,LGT Réaumur - Lycée des métiers,Pays de la Loire,BTS - Production - Conception de produits industriels,10.0
Public,LGT Réaumur - Lycée des métiers,Pays de la Loire,BTS - Services - Economie sociale familiale,39.0
Public,Lycée professionnel Robert BURON,Pays de la Loire,Mention complémentaire - Technicien(ne) en soudage,8.0
Privé sous contrat d'association,Lycée d'AVESNIERES,Pays de la Loire,BTS - Services - Communication,57.0
Public,Lycée professionnel Léonard de Vinci,Pays de la Loire,BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune,40.0
Public,Lycée agricampus de Laval,Pays de la Loire,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",9.0
Privé sous contrat d'association,IFSI CROIX ROUGE FRANCAISE LAVAL,Pays de la Loire,D.E Infirmier,61.0
Privé sous contrat d'association,MFR La Pignerie,Pays de la Loire,BTS - Agricole - génie des équipements agricoles,0.0
Privé sous contrat d'association,Institut d'Informatique Appliquée (IIA),Pays de la Loire,BTS - Services - Services informatiques aux organisations,49.0
Privé enseignement supérieur,ESIEA Laval,Pays de la Loire,Formation d'ingénieur Bac + 5 - Bacs technologiques,0.0
Public,I.U.T. Laval,Pays de la Loire,"BUT - Techniques de commercialisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",56.0
Public,I.U.T. Laval,Pays de la Loire,"BUT - Génie biologique parcours biologie médicale et biotechnologie (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",70.0
Privé enseignement supérieur,Facultés libres de l'ouest - UCO - Laval,Pays de la Loire,Licence - Economie et gestion - Parcours Gestion Commerce,78.0
Public,Lycée Alfred Mezieres,Grand Est,"Mention complémentaire - Technicien ascensoriste, service et modernisation",0.0
Public,Lycée Ernest Bichat,Grand Est,BTS - Services - Management Commercial Opérationnel,26.0
Public,Lycée Henri Poincaré,Grand Est,CPGE - Lettres,99.0
Public,Lycée Henri Poincaré,Grand Est,CPGE - BCPST,100.0
Public,Lycée Henri Poincaré,Grand Est,CPGE - MP2I,100.0
Public,Lycée Henri Poincaré,Grand Est,CPGE - ECG,100.0
Public,Lycée Georges de la Tour,Grand Est,BTS - Services - Collaborateur juriste notarial,51.0
Public,Lycée Henri Loritz,Grand Est,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",43.0
Public,Lycée Jean Zay,Grand Est,BTS - Production - Aéronautique,74.0
Public,Lycée professionnel Jean Prouve,Grand Est,Mention complémentaire - Technicien(ne) en soudage,0.0
Public,"Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS)",Grand Est,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,0.0
Public,I.U.T de Nancy-Brabois - Université de Lorraine,Grand Est,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,85.0
Public,Lycée Hanzelet,Grand Est,BTS - Production - Electrotechnique,8.0
Public,Lycée Hanzelet,Grand Est,BTS - Production - Maintenance des systèmes - option A Systèmes de production,7.0
Public,I.U.T Nancy-Charlemagne - Université de Lorraine,Grand Est,BUT - Métiers du multimédia et de l'internet,71.0
Public,I.U.T Nancy-Charlemagne - Université de Lorraine,Grand Est,BUT - Gestion des entreprises et des administrations,51.0
Privé sous contrat d'association,Lycée Pierre De Coubertin,Grand Est,BTS - Services - Management Commercial Opérationnel,12.0
Public,EEIGM Nancy - Groupe INP,Grand Est,Formation d'ingénieur Bac + 5 - Bac général,100.0
Privé sous contrat d'association,Lycée Saint Michel,Grand Est,"BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air",3.0
Privé sous contrat d'association,Lycée Charles De Foucauld,Grand Est,BTS - Services - Gestion de la PME,22.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Mathématiques et informatique appliquées aux sciences humaines et sociales,92.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Licence 1ère année Portail Sciences pour l'ingénieur,91.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Géographie et aménagement,86.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Lettres - Parcours Lettres classiques,81.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Mathématiques et informatique appliquées aux sciences humaines et sociales,88.0
Public,Université de Lorraine - Site de Nancy,Grand Est,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol",90.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Philosophie,84.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Licence 1ère année Portail Sciences pour l'ingénieur,96.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Licence 1ère année Portail Sciences de la vie et de l'environnement,98.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Sociologie,83.0
Public,Université de Lorraine - Site de Nancy,Grand Est,Licence - Portail Licence 1ère année Portail Physique - Chimie,100.0
Privé sous contrat d'association,LEAP AGRICULTURE ET TERRITOIRE IS4A,Grand Est,BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson,17.0
Public,Lycée professionnel Emile Zola,Grand Est,Mention complémentaire - Animation-gestion de projets dans le secteur sportif,38.0
Public,Lycée Jean-Auguste Margueritte,Grand Est,BTS - Services - Management Commercial Opérationnel,19.0
Privé sous contrat d'association,Lycée Sainte-Anne,Grand Est,BTS - Services - Communication,45.0
Public,Lycée Dupuy De Lôme,Bretagne,BTS - Services - Assurance,30.0
Public,Lycée Dupuy De Lôme,Bretagne,CPGE - MPSI,100.0
Public,Lycée Jean-Baptiste Colbert,Bretagne,BTS - Production - Maintenance des véhicules option voitures particulières,5.0
Public,Lycée Jean-Baptiste Colbert,Bretagne,BTS - Production - Electrotechnique,3.0
Public,Lycée Joseph Loth,Bretagne,BTS - Services - Banque conseiller de clientèle,33.0
Public,Lycée Alain René Lesage,Bretagne,CPGE - PTSI,100.0
Public,Lycée Alain René Lesage,Bretagne,CPGE - MP2I,100.0
Public,Ecole Nationale de Voile et des Sports Nautiques (ENVSN),Bretagne,BPJEPS - Spécialité Educateur sportif - Mention Voile multi-supports jusqu'à 6 miles nautique d'un abri,80.0
Public,Ecole Nationale de Voile et des Sports Nautiques (ENVSN),Bretagne,"BPJEPS - Spécialité Educateur sportif - Mention Activités du canoë-kayak et disciplines associées en eau vive jusqu'à classe III, en eau calme et en mer jusqu'à IV Beaufort",80.0
Privé sous contrat d'association,Lycée St Paul,Bretagne,BTS - Services - Comptabilité et gestion,36.0
Privé sous contrat d'association,Lycée St Paul,Bretagne,BTS - Services - Support à l'action managériale,21.0
Privé sous contrat d'association,Lycée St Paul,Bretagne,BTS - Services - Professions immobilières,34.0
Privé sous contrat d'association,Lycée Notre Dame De La Paix,Bretagne,BTS - Services - Services informatiques aux organisations,34.0
Privé sous contrat d'association,Lycée St Joseph - LaSalle Lorient,Bretagne,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",41.0
Privé sous contrat d'association,Lycée Jeanne d'Arc-St Ivy,Bretagne,BTS - Services - Négociation et digitalisation de la Relation Client,4.0
Privé sous contrat d'association,Lycée St Joseph,Bretagne,BTS - Production - Assistance technique d'ingénieur,26.0
Privé sous contrat d'association,Lycée Notre Dame Le Menimur,Bretagne,BTS - Services - Service et prestation des secteurs sanitaire et social,16.0
Public,I.U.T de Lorient,Bretagne,"BUT - Métiers de la Transition et de l'Efficacité Énergétiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",53.0
Public,I.U.T de Lorient,Bretagne,"BUT - Qualité, logistique industrielle et organisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",65.0
Privé sous contrat d'association,Lycée professionnel Agricole horticoles de Kerplouz,Bretagne,BTS - Agricole - Gestion et protection de la nature,60.0
Public,Lycée Victor HUGO,Bretagne,BTS - Services - Gestion de la PME,29.0
Public,Lycée Marcellin Berthelot,Bretagne,BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,20.0
Privé enseignement supérieur,Facultés libres de l'ouest - UCO - Bretagne Sud,Bretagne,Licence - Histoire,82.0
Public,Université de Bretagne Sud - Site de Lorient,Bretagne,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - Anglais",86.0
Public,Université de Bretagne Sud - Site de Lorient,Bretagne,CPGE - ENS Rennes D1,98.0
Public,Université de Bretagne Sud - Site de Lorient,Bretagne,Licence - Portail Physique,93.0
Public,Université de Bretagne Sud - Site de Lorient,Bretagne,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - Espagnol",87.0
Public,Université de Bretagne Sud - Site de Lorient,Bretagne,Licence professionnelle - Bio-industries et biotechnologies - Parcours Techniques d?analyses chimiques et biologiques,84.0
Public,Université de Bretagne Sud - Site de Vannes,Bretagne,CUPGE - Parcours Informatique / Mathématiques,100.0
Public,Université de Bretagne Sud - Site de Vannes,Bretagne,Licence - Portail Droit,83.0
Public,Université de Bretagne Sud - Site de Vannes,Bretagne,"Licence - Portail Sciences de la vie et de la terre - Bio générale, Bio cellulaire moléculaire, Sciences de l'environnement, Bio Biotech, Bio Biosanté,TACB",92.0
Public,Université de Bretagne Sud - Site de Vannes,Bretagne,"Licence - Portail Sciences de la vie et de la terre - Bio générale, Bio cellulaire moléculaire, Sciences de l'environnement, Bio Biotech, Bio Biosanté,TACB",97.0
Public,ENSIBS Lorient,Bretagne,Formation d'ingénieur Bac + 5 - bac STI2D,0.0
Public,Lycée Blaise Pascal,Grand Est,BTS - Services - Comptabilité et gestion,19.0
Public,Lycée Fabert,Grand Est,CPGE - ECG -  - Mathématiques approfondies + HGG,100.0
Public,Lycée Robert Schuman,Grand Est,BTS - Services - Services informatiques aux organisations,40.0
Public,Lycée Robert Schuman,Grand Est,BTS - Services - Gestion de la PME,28.0
Public,Lycée Louis Vincent,Grand Est,CPGE - TSI,0.0
Public,Lycée professionnel Alain Fournier,Grand Est,FCIL classe passerelle BTS,0.0
Public,Lycée agricole Metz-Courcelles-Chaussy,Grand Est,BTS - Agricole - Gestion et maitrise de l'eau,29.0
Public,Lycée Jean De Pange,Grand Est,BTS - Services - Commerce International,46.0
Public,Lycée Jean De Pange,Grand Est,BTS - Services - Négociation et digitalisation de la Relation Client,27.0
Public,Lycée Henri Nominé,Grand Est,BTS - Production - Maintenance des systèmes - option A Systèmes de production,2.0
Public,Lycée Henri Nominé,Grand Est,BTS - Services - Conseil et commercialisation de solutions techniques,19.0
Public,Lycée La Briquerie,Grand Est,BTS - Production - Electrotechnique,9.0
Public,Lycée La Briquerie,Grand Est,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",25.0
Public,I.U.T de Metz - Université de Lorraine,Grand Est,BUT - Mesures physiques,90.0
Privé sous contrat d'association,Lycée professionnel Sainte Marie,Grand Est,BTS - Services - Economie sociale familiale,20.0
Privé sous contrat d'association,INSTIT.REGIONAL TRAVAIL SOCIAL IRTS DE LORRAINE - Le Ban Saint Martin,Grand Est,D.E Educateur Spécialisé,54.0
Privé sous contrat d'association,Lycée De La Salle,Grand Est,BTS - Services - Commerce International,65.0
Privé sous contrat d'association,Lycée Notre Dame De La Providence,Grand Est,BTS - Services - Commerce International,46.0
Public,Lycée professionnel Jean Mace,Grand Est,Mention complémentaire - Services numériques aux organisations,23.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Psychologie,79.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Musicologie - Parcours Musique - Franco-Allemand,89.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Portail Licence 1ère année Portail Sciences de la vie et de l'environnement,95.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Portail Droit,78.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Portail Licence 1ère année Portail Physique - Chimie,94.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Arts plastiques,77.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives -,87.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Langues étrangères appliquées - Parcours Anglais - Chinois,82.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Arts du spectacle - Parcours Arts du spectacle et audiovisuel,79.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Administration économique et sociale,71.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Portail Licence 1ère année Portail Sciences pour l'ingénieur,90.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Droit - Parcours Droit Franco-Allemand,100.0
Public,Université de Lorraine - Site de Metz,Grand Est,Licence - Théologie - Entièrement en distanciel,83.0
Privé sous contrat d'association,Lycée Jean XXIII,Grand Est,Formation d'ingénieur Bac + 5 - bac STI2D,33.0
Public,ESAL - École Supérieure d'Art de Lorraine - Site de Metz,Grand Est,Diplôme National d'Art,89.0
Public,Lycée Georges De La Tour,Grand Est,CPGE - ECG -  - Mathématiques appliquées + ESH,100.0
Public,Lycée De La Communication,Grand Est,BTS - Services - Communication,61.0
Public,Lycée des Métiers - Hotelier Raymond Mondon,Grand Est,Mention complémentaire - Accueil réception,23.0
Public,Lycée des Métiers - Hotelier Raymond Mondon,Grand Est,Mise à niveau - Hôtellerie restauration,70.0
Privé sous contrat d'association,Lycée - Campus Saint Vincent de Paul Thionville,Grand Est,DTS Imagerie médicale et radiologie thérapeutique,68.0
Privé sous contrat d'association,LYCEE GEN.ET TECHNOL.PRIVE LYCEE PRIVE ST ETIENNE,Grand Est,BTS - Production - Etude et réalisation d'agencement,48.0
Privé sous contrat d'association,LYCEE GEN.ET TECHNOL.PRIVE LYCEE PRIVE ST ETIENNE,Grand Est,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,37.0
Public,Lycée Jules Renard,Bourgogne-Franche-Comté,BTS - Production - Electrotechnique,16.0
Public,Lycée Jules Renard,Bourgogne-Franche-Comté,CPGE - PTSI,100.0
Public,Lycée Raoul Follereau,Bourgogne-Franche-Comté,BTS - Services - Services informatiques aux organisations,37.0
Public,Lycée Raoul Follereau,Bourgogne-Franche-Comté,BTS - Services - Comptabilité et gestion,37.0
Public,Lycée agricole de Nevers Challuy,Bourgogne-Franche-Comté,BTS - Agricole - Gestion et maitrise de l'eau,53.0
Privé sous contrat d'association,Centre scolaire Notre-Dame,Bourgogne-Franche-Comté,BTS - Production - Maintenance des véhicules option voitures particulières,29.0
Public,Université de Bourgogne - site de Nevers,Bourgogne-Franche-Comté,Licence - Parcours d'Accès Spécifique Santé (PASS),94.0
Public,Lycée Maurice Genevoix,Bourgogne-Franche-Comté,BTS - Services - Gestion de la PME,20.0
Public,ISAT Nevers,Bourgogne-Franche-Comté,Formation d'ingénieur Bac + 5 - Bac général,100.0
Public,Lycée Paul Duez,Hauts-de-France,BTS - Production - Electrotechnique,8.0
Public,Lycée Fenelon,Hauts-de-France,BTS - Services - Tourisme,72.0
Public,Lycée Joseph Marie Jacquard,Hauts-de-France,Mention complémentaire - Technicien en énergies renouvelables (option énergie électrique),0.0
Public,Lycée Alfred Kastler,Hauts-de-France,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),0.0
Public,Lycée Alfred Kastler,Hauts-de-France,BTS - Production - Maintenance des systèmes - option A Systèmes de production,12.0
Public,Lycée Albert Chatelet,Hauts-de-France,CPGE - Lettres,100.0
Public,Lycée Jean-Baptiste Corot,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,19.0
Public,Lycée De L'Europe,Hauts-de-France,CPGE - PTSI,99.0
Public,Lycée Auguste Angellier,Hauts-de-France,BTS - Services - Commerce International,60.0
Public,Lycée Beaupré,Hauts-de-France,Mention complémentaire - Animation-gestion de projets dans le secteur sportif,39.0
Public,Lycée professionnel Sonia Delaunay,Hauts-de-France,Mention complémentaire - Assistance Conseil Vente à distance,0.0
Public,Lycée Dupleix,Hauts-de-France,BTS - Services - Négociation et digitalisation de la Relation Client,27.0
Public,Lycée Louis Pasteur,Hauts-de-France,BTS - Services - Négociation et digitalisation de la Relation Client,24.0
Public,Lycée Faidherbe,Hauts-de-France,CPGE - Lettres,100.0
Public,Lycée Cesar Baggio,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,24.0
Public,Lycée Cesar Baggio,Hauts-de-France,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique",15.0
Public,Lycée Valentine Labbe,Hauts-de-France,BTS - Services - Service et prestation des secteurs sanitaire et social,14.0
Public,Lycée Jean Rostand,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",28.0
Public,Lycée Ernest Couteaux,Hauts-de-France,BTS - Services - Comptabilité et gestion,30.0
Public,Lycée Colbert,Hauts-de-France,CPGE - MP2I,100.0
Public,Lycée Sévigné,Hauts-de-France,BTS - Services - Diététique,50.0
Public,Lycée Sévigné,Hauts-de-France,BTS - Services - Economie sociale familiale,24.0
Public,Lycée Sévigné,Hauts-de-France,BTS - Services - Gestion de la PME,12.0
Public,Lycée Sévigné,Hauts-de-France,BTS - Production - Métiers de la mode-vêtements,37.0
Public,Lycée Henri Wallon,Hauts-de-France,CPGE - PCSI,100.0
Public,Lycée professionnel GUY DEBEYRE,Hauts-de-France,BTS - Services - Gestion des transports et logistique associée,19.0
Public,Lycée Gaston Berger,Hauts-de-France,BTS - Services - Gestion des transports et logistique associée,16.0
Public,Lycée Gaston Berger,Hauts-de-France,BTS - Services - Assurance,38.0
Public,Lycée Gaston Berger,Hauts-de-France,BTS - Services - Négociation et digitalisation de la Relation Client,25.0
Public,Lycée Jules Mousseron,Hauts-de-France,BTS - Services - Economie sociale familiale,33.0
Public,"Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS)",Hauts-de-France,BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme,36.0
Privé enseignement supérieur,ISA,Hauts-de-France,Formation d'ingénieur Bac + 5 - Voie d'accès bac série générale,100.0
Privé enseignement supérieur,ICAM Lille,Hauts-de-France,Formation d'ingénieur Bac + 5,91.0
Privé enseignement supérieur,ICAM Lille,Hauts-de-France,Formation d'ingénieur Bac + 5,100.0
Privé enseignement supérieur,HEI Lille,Hauts-de-France,Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences,100.0
Privé enseignement supérieur,EDHEC Lille,Hauts-de-France,Formation des écoles de commerce et de management Bac + 4 - International BBA,98.0
Privé sous contrat d'association,ECOLE EUROPEENNE SUPERIEURE EN TRAVAIL SOCIAL ECOLE D'EDUCATEURS SPECIALISES DE LILLE,Hauts-de-France,D.E Educateur Spécialisé,62.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Gestion - Parcours Gestion,98.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Economie - Licence internationale d'économie et gestion,100.0
Privé enseignement supérieur,Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Hauts-de-France,"Licence - Langues étrangères appliquées - Parcours Marketing, Tourisme et affaires internationales/Anglais Espagnol",83.0
Privé enseignement supérieur,Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Hauts-de-France,Licence - Langues étrangères appliquées - Parcours Langues et relations Internationales  - Anglais et Espagnol,88.0
Privé sous contrat d'association,Institution Saint Jude,Hauts-de-France,BTS - Services - Commerce International,62.0
Privé sous contrat d'association,Lycée La Sagesse,Hauts-de-France,BTS - Services - Gestion de la PME,19.0
Privé sous contrat d'association,Lycée La Sagesse,Hauts-de-France,BTS - Services - Conseil et commercialisation de solutions techniques,31.0
Privé sous contrat d'association,Lycée La Sagesse,Hauts-de-France,BTS - Services - Economie sociale familiale,26.0
Privé sous contrat d'association,Lycée professionnel Saint-François d'Assise,Hauts-de-France,Mention complémentaire - Animation-gestion de projets dans le secteur sportif,34.0
Privé sous contrat d'association,Lycée Frédéric OZANAM,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,56.0
Privé sous contrat d'association,Lycée Frédéric OZANAM,Hauts-de-France,BTS - Production - Management économique de la construction,43.0
Privé sous contrat d'association,Lycée Frédéric OZANAM,Hauts-de-France,BTS - Production - Maintenance des systèmes - option A Systèmes de production,23.0
Privé sous contrat d'association,Lycée professionnel privé Numérique des Métiers EPIL (Campus Sup' Groupe OEC),Hauts-de-France,"BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air",23.0
Privé sous contrat d'association,Lycée professionnel privé Numérique des Métiers EPIL (Campus Sup' Groupe OEC),Hauts-de-France,BTS - Services - Conseil et commercialisation de solutions techniques,28.0
Public,I.U.T. de Valenciennes,Hauts-de-France,"BUT - Génie électrique et informatique industrielle (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",72.0
Public,I.U.T. de Valenciennes,Hauts-de-France,BUT - Génie mécanique et productique,70.0
Public,I.U.T. de Valenciennes,Hauts-de-France,BUT - Techniques de commercialisation,60.0
Privé sous contrat d'association,Lycée Vauban,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,37.0
Privé sous contrat d'association,Lycée Saint Luc Cambrai,Hauts-de-France,BTS - Services - Comptabilité et gestion,58.0
Privé sous contrat d'association,Lycée Notre-Dame De La Paix,Hauts-de-France,CPGE - B/L - Lettres et sciences sociales,100.0
Privé sous contrat d'association,Lycée Saint-Paul,Hauts-de-France,CPGE - ECG,100.0
Privé sous contrat d'association,Lycée polyvalent privé La Salle,Hauts-de-France,CPGE - MPSI,100.0
Privé hors contrat,CENTRE REGIONAL DE FORMATION DES PROFESSIONNELS DE L'ENFANCE,Hauts-de-France,D.E Educateur de Jeunes Enfants,58.0
Privé sous contrat d'association,Institut agricole de Genech,Hauts-de-France,"BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement",48.0
Privé sous contrat d'association,Institut agricole de Genech,Hauts-de-France,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",34.0
Privé sous contrat d'association,Institut agricole de Genech,Hauts-de-France,BTS - Agricole - Agronomie et cultures durables,54.0
Public,Lycée agricole et horticole de Lomme,Hauts-de-France,BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie,33.0
Public,Faculté de médecine Henri Warembourg - Université de Lille,Hauts-de-France,D.E Audioprothésiste,100.0
Public,Faculté de médecine Henri Warembourg - Université de Lille,Hauts-de-France,Certificat de capacité d'Orthophoniste,99.0
Privé sous contrat d'association,lycée E.P.I.D.,Hauts-de-France,BTS - Production - Electrotechnique,20.0
Public,IUT LITTORAL (DUNKERQUE),Hauts-de-France,BUT - Métiers de la Transition et de l'Efficacité Énergétiques,64.0
Public,E.S.AA.T.,Hauts-de-France,DN MADE - Événement - Spécialité : Scénographies culturelles,32.0
Privé sous contrat d'association,IFSI Santélys Formation,Hauts-de-France,D.E Infirmier,55.0
Privé sous contrat d'association,IFSI Santélys Formation,Hauts-de-France,D.E Infirmier - Réservé aux personnes en situation de handicap,33.0
Privé sous contrat d'association,Institut d'Hazebrouck,Hauts-de-France,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",22.0
Public,IFSI du CH de Sambre-Avesnois,Hauts-de-France,D.E Infirmier,45.0
Public,Lycée Du Noordover,Hauts-de-France,BTS - Services - Gestion de la PME,29.0
Privé sous contrat d'association,Institut Saint Vincent De Paul,Hauts-de-France,DN MADE - Graphisme - Spécialité : Création culturelle. Majeure : Graphisme. Mineures : Événement ? Numérique,68.0
Public,Lycée de L'Escaut,Hauts-de-France,DTS Imagerie médicale et radiologie thérapeutique,84.0
Public,Lycée de L'Escaut,Hauts-de-France,BTS - Production - Métiers de la chimie,47.0
Public,IMT Nord Europe,Hauts-de-France,Formation d'ingénieur Bac + 5 - Bac général,100.0
Public,Sciences Po Lille - Institut d'études politiques,Hauts-de-France,Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Master - Cursus général,100.0
